Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-05-23,122.510002,136.429993,122.129997,133.330002,120.952629,5606600,68
2018-05-24,133.240005,137.440002,131.419998,134.800003,122.286156,2125500,69
2018-05-25,135.089996,137.589996,134.110001,137.300003,124.554092,1474900,70
2018-05-29,136.300003,138.889999,134.600006,135.259995,122.70343,1973900,71
2018-05-30,135.179993,137.059998,134.360001,136.309998,123.656021,1226200,72
2018-05-31,136.490005,136.979996,133.630005,134.580002,122.086586,1375400,73
2018-06-01,136.070007,137.979996,135.009995,137.869995,125.071175,1131400,74
2018-06-04,137.919998,139.110001,136.75,138.470001,125.615471,1013400,75
2018-06-05,137.880005,139.759995,137.25,139.559998,126.604271,1039400,76
2018-06-06,140.100006,140.800003,139.020004,139.600006,126.640579,967300,77
2018-06-07,143.25,145.940002,137.639999,137.860001,125.062103,1849000,78
2018-06-08,135.970001,142.850006,135.550003,142.229996,129.026428,1822600,79
2018-06-11,142.190002,144.419998,141.759995,142.029999,128.844971,1368200,80
2018-06-12,142.220001,144.110001,141.389999,142.899994,129.634216,1087100,81
2018-06-13,142.220001,142.889999,138.850006,138.940002,126.04184,1521000,82
2018-06-14,138.940002,140,137.630005,139.089996,126.177895,1283300,83
2018-06-15,138.529999,140.550003,137.660004,139.710007,126.740387,1237600,84
2018-06-18,138.960007,141.539993,138.029999,140.580002,127.529579,684900,85
2018-06-19,138.779999,139.860001,136.960007,139.410004,126.468201,1232700,86
2018-06-20,139.350006,140.460007,137.910004,138.5,125.642693,1050400,87
2018-06-21,137.210007,137.210007,134.070007,135.089996,122.549225,1023100,88
2018-06-22,135.279999,136.699997,129.850006,130.259995,118.167625,1825700,89
2018-06-25,129.210007,129.539993,125.82,128.009995,116.126495,1359800,90
2018-06-26,127.970001,130.270004,127.919998,128.679993,116.734291,1001000,91
2018-06-27,128.440002,130.100006,126.220001,126.769997,115.00161,733900,92
2018-06-28,126.199997,127.849998,125.470001,126.940002,115.726387,891200,93
2018-06-29,127.699997,129.309998,125.709999,125.720001,114.614166,962200,94
2018-07-02,124.739998,126.120003,124.139999,125.82,114.705322,917500,95
2018-07-03,126.290001,126.870003,124.199997,124.589996,113.583977,391000,96
2018-07-05,125.300003,125.970001,124.5,125.5,114.413589,712000,97
2018-07-06,125.660004,127.559998,124.940002,126.419998,115.252312,585600,98
2018-07-09,126.75,128.169998,125.529999,126.879997,115.671684,815300,99
2018-07-10,127.050003,129.279999,126.860001,129.169998,117.759384,1131200,100
2018-07-11,128.899994,129.089996,126.080002,126.370003,115.206741,741000,101
2018-07-12,126.910004,127.809998,126.160004,127.43,116.173103,639000,102
2018-07-13,127.580002,129.759995,127.120003,127.550003,116.282509,731600,103
2018-07-16,128,130.169998,127.269997,129.899994,118.424896,768100,104
2018-07-17,129.149994,133.529999,129.149994,133.300003,121.524544,1171500,105
2018-07-18,133,133.990005,131.630005,133.610001,121.807167,840200,106
2018-07-19,133.550003,135.490005,133.529999,135.179993,123.238472,639000,107
2018-07-20,135.380005,138.169998,135.009995,136.559998,124.496574,1086000,108
2018-07-23,136.729996,137.449997,135.070007,135.259995,123.311386,732700,109
2018-07-24,135.669998,136.399994,132.990005,133.350006,121.570152,937400,110
2018-07-25,133.570007,137.25,133.320007,137.169998,125.052696,923000,111
2018-07-26,138,139.389999,136.020004,136.669998,124.596878,809400,112
2018-07-27,136.559998,136.869995,134.660004,136.050003,124.031647,750500,113
2018-07-30,136.149994,137.529999,134.860001,135.889999,123.885765,1258200,114
2018-07-31,145,147.789993,133.320007,134.979996,123.056152,2985300,115
2018-08-01,133.960007,135.630005,127.800003,128.850006,117.467667,1756900,116
2018-08-02,128.279999,131.350006,127.43,130.5,118.971901,1048400,117
2018-08-03,131.070007,131.619995,129.610001,130.360001,118.844276,1056700,118
2018-08-06,130.729996,132.509995,129.270004,131.770004,120.129715,1181000,119
2018-08-07,132.309998,133.869995,130.809998,133.320007,121.542801,836100,120
2018-08-08,133.770004,135.360001,133.149994,134.25,122.390633,624900,121
2018-08-09,134.229996,137.860001,133.619995,136.630005,124.560402,894200,122
2018-08-10,135.669998,137.350006,134.839996,136.380005,124.332466,640500,123
2018-08-13,137.229996,137.360001,135.509995,136.610001,124.542152,997900,124
2018-08-14,137.289993,138.940002,137.240005,138.5,126.265205,1309400,125
2018-08-15,137.410004,137.410004,131.149994,131.660004,120.029419,894300,126
2018-08-16,132.600006,132.830002,131.429993,132.350006,120.658501,805400,127
2018-08-17,132.860001,136.029999,132.300003,135.410004,123.448151,842600,128
2018-08-20,135.779999,139.419998,135.509995,138.910004,126.638969,1190300,129
2018-08-21,139.5,141.619995,138.839996,139.410004,127.094803,754600,130
2018-08-22,139.240005,141.210007,137.199997,137.479996,125.335304,528700,131
2018-08-23,137.529999,139.139999,137.389999,137.740005,125.572342,638400,132
2018-08-24,137.509995,138.330002,136.089996,136.699997,124.624214,731900,133
2018-08-27,137.600006,138.350006,135.139999,136.130005,124.104576,749500,134
2018-08-28,136.149994,137.389999,134.229996,135.869995,123.867508,849600,135
2018-08-29,135.470001,135.970001,131.160004,134.910004,122.992332,1070100,136
2018-08-30,134.479996,136.289993,131.330002,131.820007,120.175301,1084800,137
2018-08-31,131.889999,133.529999,131.270004,132.809998,121.07785,872200,138
2018-09-04,131.710007,133.020004,129.369995,130.880005,119.318344,1276700,139
2018-09-05,130.25,131.660004,129.779999,131.179993,119.591827,1026400,140
2018-09-06,131.940002,133.759995,131.029999,131.059998,119.482437,676200,141
2018-09-07,130.449997,131.509995,129.460007,130.039993,118.552544,731200,142
2018-09-10,130.490005,133.649994,129.869995,133.119995,121.360451,1057500,143
2018-09-11,132.460007,132.869995,131.139999,131.570007,119.94738,1147300,144
2018-09-12,131.889999,134.699997,131.509995,134.330002,122.463554,802200,145
2018-09-13,134.759995,135.660004,132.839996,133.270004,121.497215,667400,146
